ligne;colonne;vvaleurr
80;3;"2,71878498163494"
80;4;"2,48588493774887"
80;5;"2,32872058860787"
80;6;"2,21419279548792"
80;7;"2,12632428273578"
80;8;"2,05637261155898"
80;9;"1,99911480581684"
80;10;"1,95122032223431"
80;20;"1,70316008353487"
80;30;"1,60173017535704"
80;40;"1,54488737446685"
80;50;"1,50806918366682"
80;60;"1,48211138433833"
80;80;"1,44772808425159"
80;100;"1,42586225476057"
80;200;"1,37857218973132"
80;500;"1,34723421114512"
80;1000;"1,33615052988939"
90;1;"3,94687573068052"
90;2;"3,09769803525193"
90;3;"2,70583805101614"
90;4;"2,47292703903345"
90;5;"2,3156892378361"
90;6;"2,20105646616577"
90;7;"2,11306670313333"
90;8;"2,04298565778221"
90;9;"1,9855949637305"
90;10;"1,93756679088273"
90;20;"1,68829782367285"
90;30;"1,58593745074817"
90;40;"1,52836881206775"
90;50;"1,49096787188179"
90;60;"1,46453085753086"
90;80;"1,42940381241538"
90;100;"1,40698575455069"
90;200;"1,35822121735652"
90;500;"1,32561964601855"
90;1000;"1,31401611692097"
100;1;"3,93614298631267"
100;2;"3,08729589274893"
100;3;"2,69553425488814"
100;4;"2,46261492591164"
100;5;"2,30531824167523"
100;6;"2,19060094042904"
100;7;"2,10251329455278"
100;8;"2,03232759184843"
100;9;"1,97482919825876"
100;10;"1,92669248875455"
100;20;"1,67643424975317"
100;30;"1,57330234982899"
100;40;"1,51512527338772"
100;50;"1,47723131597146"
100;60;"1,45038565461548"
100;80;"1,41461823839133"
100;100;"1,39171955165522"
100;200;"1,34164796971017"
100;500;"1,30789546780504"
100;1000;"1,29580922273617"
200;1;"3,88837471678168"
200;2;"3,04105579112524"
200;3;"2,64975164339796"
200;4;"2,41679972695347"
200;5;"2,25923652966613"
200;6;"2,14413254809328"
200;7;"2,05559431656969"
200;8;"1,98492436482177"
200;9;"1,9269253245578"
200;10;"1,8782818596081"
200;20;"1,62330666438738"
200;30;"1,51636513542378"
200;40;"1,4550907395406"
200;50;"1,41461879765429"
200;60;"1,38558484475175"
200;80;"1,34628322781887"
200;100;"1,32063745924264"
200;200;"1,26259781740841"
200;500;"1,22105244520972"
200;1000;"1,20541448521214"
300;1;"3,87264226173042"
300;2;"3,02584712571179"
300;3;"2,63470078711393"
300;4;"2,40173969632139"
300;5;"2,24408702502873"
300;6;"2,12885175199535"
300;7;"2,0401594914116"
300;8;"1,96932307380461"
300;9;"1,91115104862092"
300;10;"1,86233163600571"
300;20;"1,60567930450444"
300;30;"1,49732778923545"
300;40;"1,43486511091645"
300;50;"1,39337160794178"
300;60;"1,36344471525034"
300;80;"1,3226448148312"
300;100;"1,29578048613566"
300;200;"1,23387685542916"
300;500;"1,1879179995318"
300;1000;"1,16998229679285"
500;1;"3,86012403973777"
500;2;"3,0137530057135"
500;3;"2,6227347843237"
500;4;"2,38976693582504"
500;5;"2,23204242805279"
500;6;"2,11670121802142"
500;7;"2,02788429451275"
500;8;"1,95691280316772"
500;9;"1,89860008245031"
500;10;"1,8496372402604"
500;20;"1,59160203010674"
500;30;"1,48206453911754"
500;40;"1,4185835046817"
500;50;"1,3761990087708"
500;60;"1,34548031081587"
500;80;"1,30332142992135"
500;100;"1,27532034322817"
500;200;"1,20958146037327"
500;500;"1,15865537655462"
500;1000;"1,13778036760015"
1000;1;"3,85077466813863"
1000;2;"3,00472463557784"
1000;3;"2,61380358069363"
1000;4;"2,38083099585977"
1000;5;"2,22305245246758"
1000;6;"2,10763125047736"
1000;7;"2,01871997214319"
1000;8;"1,94764604134216"
1000;9;"1,88922641905133"
1000;10;"1,84015440287436"
1000;20;"1,58105690658843"
1000;30;"1,47059350718821"
1000;40;"1,40630494530363"
1000;50;"1,36320326259502"
1000;60;"1,33183797517921"
1000;80;"1,28854665904025"
1000;100;"1,25957351730248"
1000;200;"1,19034591025768"
1000;500;"1,13421222165409"
1000;1000;"1,10968829024298"
2000;1;"3,84611256271035"
2000;2;"3,00022396366177"
2000;3;"2,60935183597716"
2000;4;"2,3763769879989"
2000;5;"2,21857137406907"
2000;6;"2,10311000003732"
2000;7;"2,01415126451046"
2000;8;"1,94302574358262"
2000;9;"1,88455221907014"
2000;10;"1,83542509085186"
2000;20;"1,57578810782607"
2000;30;"1,46484939873388"
2000;40;"1,40014191389291"
2000;50;"1,35666433260232"
2000;60;"1,32495673010111"
2000;80;"1,28105717654782"
2000;100;"1,25155202566722"
2000;200;"1,18032083477568"
2000;500;"1,12079986069569"
2000;1000;"1,09345519566041"
